Actiniaria free stet.,Asteroidea stet.,Bathyplotes stet.,Bonelliidae stet.,Caridea stet.,Cerianthidae stet.,Crustacea stet.,Fauna,G-undeterminable,G0,G6,Holothuroidea stet.,Isidella stet.,Laser points,Mesothuria stet.,Mud,Munida stet.,Octocorallia - Gorgonacea stet.,Pandalidae stet.,Parastichopus stet.,Pennatuloidea stet.,Pisces,Pleuronectidae stet.,associated caridea stet.,associated munida stet.,associated pandalidae stet.,flat,medium confidence,mucus undeterminable,polyps undeterminable,spare coral associated fauna,unidentified fauna,G5,high confidence,Unsegmented worms,marine litter,bin
0.001237247554242122,0.007423485325452732,0.014846970650905464,0.005567613994089549,0.043922288175595334,0.002474495108484244,0.07114173436892202,0.003093118885605305,0.41509655444823196,0.01237247554242122,0.004330366439847427,0.02969394130181093,1.3232362592619495,0.2239418073178241,0.004330366439847427,0.03711742662726366,0.22950942131191363,0.07485347703164838,0.001237247554242122,0.004330366439847427,0.04021054551286896,0.003711742662726366,0.002474495108484244,0.033405683964537296,0.013609723096663343,0.001237247554242122,0.03711742662726366,0.016084218205147587,0.43241802020762166,0.4317993964305006,0.016084218205147587,0.19239199468465,0.001237247554242122,0.001237247554242122,0.001237247554242122,6.18623777121061e-4,"All(0,550]"
0.014205758466464899,0.03551439616616225,0.042617275399394694,0.028411516932929797,0.0710287923323245,0.007102879233232449,0.26990941086283304,0.014205758466464899,1.4631931220458845,0.08523455079878939,0.028411516932929797,0.09233743003202184,1.5910449482440685,0.26990941086283304,0.014205758466464899,0.04972015463262714,0.8878599041540561,0.284115169329298,0.014205758466464899,0.021308637699697347,0.09944030926525428,0.028411516932929797,0.007102879233232449,0.04972015463262714,0.08523455079878939,0.014205758466464899,0.04972015463262714,0.10654318849848674,1.5768391897776037,1.5697363105443711,0.08523455079878939,0.5469217009588986,0,0,0,0,"[0,50]"
0,0.015556675551748495,0.038891688879371236,0.023335013327622743,0.11667506663811371,0.015556675551748495,0.2100151199486047,0,0.9956272353119037,0.046670026655245486,0,0.054448364431119736,1.0578539375188978,0.23335013327622742,0.023335013327622743,0.038891688879371236,0.692272062052808,0.20223678217273044,0,0,0.023335013327622743,0.015556675551748495,0.023335013327622743,0.07000503998286822,0.015556675551748495,0,0.038891688879371236,0.046670026655245486,1.0500755997430233,1.0500755997430233,0.038891688879371236,0.4044735643454609,0.007778337775874247,0.007778337775874247,0,0,"(50,100]"
0,0.029686714379816036,0.05937342875963207,0,0.17812028627889623,0.007421678594954009,0.23007203644357427,0.02226503578486203,1.7589378270041,0.014843357189908018,0.014843357189908018,0.15585525049403418,1.7886245413839161,0.31171050098806835,0.007421678594954009,0.05195175016467806,0.6976377879256769,0.20038532206375825,0,0.029686714379816036,0.04453007156972406,0,0,0.13359021470917215,0.05195175016467806,0,0.05195175016467806,0.029686714379816036,1.7812028627889622,1.7812028627889622,0.04453007156972406,0.4156140013174245,0,0,0.007421678594954009,0.007421678594954009,"(100,150]"
0,0.006814433504562602,0.03407216752281301,0.013628867009125203,0.14991753710037722,0,0.12947423658668944,0,0.6814433504562601,0,0.006814433504562602,0.04770103453193821,1.5809485730585235,0.2589484731733789,0.006814433504562602,0.03407216752281301,0.4293093107874439,0.08858763555931382,0,0,0.04088660102737561,0,0,0.13628867009125203,0.006814433504562602,0,0.03407216752281301,0.006814433504562602,0.6950722174653854,0.6950722174653854,0.020443300513687805,0.3475361087326927,0.006814433504562602,0.006814433504562602,0.006814433504562602,0,"(150,200]"
0,0,0,0,0,0,0,0,0,0,0,0,1.5177892605872252,0.3178616252538692,0,0.0556257844194271,0,0,0,0,0.03973270315673365,0,0,0,0,0,0.0556257844194271,0,0,0,0,0.1112515688388542,0,0,0,0,"(200,250]"
0,0,0,0,0,0,0,0,0,0,0,0,1.7309202319148906,0.19021101449614183,0,0.03170183574935697,0,0.06340367149871394,0,0,0.01902110144961418,0,0,0,0,0,0.03170183574935697,0,0,0,0,0.10144587439794231,0,0,0,0,"(250,300]"
0,0,0,0,0,0,0,0,0,0,0,0,1.7200223484497963,0.2501850688654249,0,0.03752776032981374,0,0.006254626721635623,0,0,0.031273133608178114,0,0,0,0,0,0.03752776032981374,0,0,0,0,0.06254626721635623,0,0,0,0,"(300,350]"
0,0,0,0,0,0,0,0,0,0,0,0,0.8644701549980437,0.194810175774207,0,0.036526907957663814,0,0.006087817992943969,0,0,0.030439089964719848,0,0,0,0,0,0.036526907957663814,0,0,0,0,0.04870254394355175,0,0,0,0,"(350,400]"
0,0,0,0,0,0,0,0,0,0,0,0,1.565850145779911,0.24762281375124173,0,0.03641511966930026,0,0.021849071801580154,0,0,0.07283023933860051,0,0,0,0,0,0.03641511966930026,0,0,0,0,0.10924535900790076,0,0,0,0,"(400,450]"
0,0,0,0,0,0,0,0,0,0,0,0,1.2284649758384123,0.2245581138629356,0,0.039627902446400395,0,0,0,0,0.052837203261867194,0,0,0,0,0,0.039627902446400395,0,0,0,0,0.06604650407733399,0,0,0,0,"(450,500]"
0,0,0,0,0,0,0,0,0,0,0,0,0.14181480484849038,0.023635800808081732,0,0.005908950202020433,0,0,0,0,0,0,0,0,0,0,0.005908950202020433,0,0,0,0,0.011817900404040866,0,0,0,0,"(500,550]"
